id,doc,src vs ref_1,src vs ref_2,src vs ref_3,src vs ref_4,src vs 1_primary,src vs 2_secondary,ref_1 vs ref_2,ref_1 vs ref_3,ref_1 vs ref_4,ref_1 vs 1_primary,ref_1 vs 2_secondary,ref_2 vs ref_3,ref_2 vs ref_4,ref_2 vs 1_primary,ref_2 vs 2_secondary,ref_3 vs ref_4,ref_3 vs 1_primary,ref_3 vs 2_secondary,ref_4 vs 1_primary,ref_4 vs 2_secondary,1_primary vs 2_secondary
3,1,0.889,0.888,0.891,0.893,0.888,0.889,0.743,0.875,0.833,0.743,0.743,0.89,0.838,1,1,0.867,0.89,0.894,0.838,0.838,0.765
7,1,0.755,0.755,0.757,0.752,0.755,0.754,1,0.791,0.786,0.786,0.757,0.792,0.786,1,1,0.791,0.792,0.792,0.757,0.757,0.786
11,1,1,1,1,0.521,1,0.772,1,1,0.767,0.767,0.756,0.756,0.767,1,1,0.756,0.767,0.767,0.756,0.756,0.767
31,1,0.727,0.729,0.746,0.741,0.739,0.74,0.783,0.783,0.784,0.791,0.79,0.795,0.793,0.783,0.783,0.79,0.797,0.797,0.781,0.781,0.765
32,1,0.783,0.799,0.799,0.75,0.797,0.744,0.798,0.798,0.781,0.786,0.788,0.767,0.781,0.797,0.782,0.781,0.796,0.782,0.782,0.784,0.783
40,1,0.733,0.727,0.731,0.699,0.742,0.73,0.791,0.785,0.781,0.782,0.793,0.791,0.787,0.792,0.794,0.781,0.847,0.789,0.78,0.781,0.787
42,1,0.734,0.836,0.852,0.862,0.843,0.86,0.778,0.776,0.777,0.777,0.779,0.806,0.883,0.801,0.846,0.807,0.844,0.81,0.797,0.851,0.802
45,1,0.89,0.89,0.89,0.9,0.873,0.886,0.766,0.87,0.856,0.913,0.751,0.87,0.856,0.905,1,0.906,0.854,0.867,0.845,0.853,0.905
52,1,0.81,0.81,0.873,0.809,0.81,0.81,0.768,0.793,0.854,0.755,1,0.793,0.854,1,0.768,0.8,0.793,0.792,0.853,0.854,0.755
55,1,0.72,0.729,0.725,0.72,0.721,0.733,0.785,0.786,0.787,0.783,0.783,0.798,0.79,0.791,0.782,0.784,0.792,0.784,0.783,0.786,0.78
56,1,0.703,0.727,0.703,0.714,0.727,0.72,0.774,0.775,0.785,0.774,0.779,0.777,0.776,0.794,0.784,0.774,0.778,0.78,0.776,0.78,0.787
57,1,0.716,0.713,0.712,0.721,0.719,0.715,0.788,0.783,0.795,0.796,0.812,0.803,0.785,0.806,0.793,0.786,0.795,0.787,0.788,0.794,0.805
64,1,0.742,0.742,0.818,0.796,0.378,0.781,0.799,0.787,0.787,0.765,0.796,0.789,0.792,0.765,0.802,0.808,0.769,0.812,0.768,0.803,0.768
66,1,0.699,0.696,0.709,0.688,0.696,0.702,0.782,0.781,0.792,0.779,0.785,0.783,0.783,0.789,0.79,0.782,0.779,0.786,0.778,0.791,0.787
70,1,0.81,0.81,0.873,0.809,0.81,0.81,0.768,0.793,0.854,0.768,1,0.793,0.854,1,0.768,0.8,0.792,0.792,0.853,0.854,0.764
2,2,0.728,0.764,0.762,0.738,0.759,0.738,0.796,0.792,0.784,0.791,0.781,0.824,0.791,0.805,0.787,0.789,0.805,0.785,0.785,0.792,0.789
