doc,id,1_primary,2_secondary,3_secondary
1,1,0.793,0.792,0.79
1,2,0.79,0.795,0.795
1,3,0.888,0.873,0.897
1,4,0.798,0.803,0.809
1,5,0.829,0.794,0.796
1,6,0.782,0.78,0.767
1,7,0.813,0.823,0.826
1,8,0.775,0.77,0.773
1,9,0.83,0.82,0.827
1,10,0.784,0.78,0.775
1,11,0.781,0.801,0.807
1,12,0.818,0.816,0.822
1,13,0.859,0.87,0.858
1,14,0.82,0.806,0.798
1,15,0.95,0.863,0.91
1,16,0.765,0.768,0.85
1,17,0.85,0.831,0.856
1,18,0.797,0.786,0.796
1,19,0.798,0.791,0.802
1,20,0.808,0.802,0.796
1,21,0.763,0.755,0.763
1,22,0.795,0.79,0.794
1,23,0.782,0.763,0.777
1,24,0.772,0.774,0.783
1,25,0.8,0.799,0.801
1,26,0.768,0.765,0.772
1,27,0.775,0.774,0.777
1,28,0.782,0.786,0.784
1,29,0.768,0.794,0.813
1,30,0.799,0.79,0.795
1,31,0.8,0.786,0.812
1,32,0.79,0.789,0.789
1,33,0.76,0.777,0.759
1,34,0.801,0.794,0.797
1,35,0.888,0.873,0.872
1,36,0.817,0.846,0.821
1,37,0.793,0.799,0.8
1,38,0.805,0.806,0.799
1,39,0.762,0.76,0.765
1,40,0.766,0.753,0.775
1,41,0.821,0.807,0.816
1,42,0.807,0.809,0.804
1,43,0.782,0.775,0.794
1,44,0.789,0.788,0.791
1,45,0.82,0.814,0.814
1,46,0.768,0.766,0.767
1,47,0.776,0.777,0.779
1,48,0.779,0.778,0.773
1,49,0.779,0.771,0.769
1,50,0.811,0.815,0.818
1,51,0.767,0.757,0.75
1,52,0.774,0.774,0.766
1,53,0.787,0.813,0.795
1,54,0.778,0.773,0.779
1,55,0.752,0.751,0.75
1,56,0.799,0.782,0.791
1,57,0.761,0.75,0.77
1,58,0.833,0.845,0.814
1,59,0.826,0.814,0.813
1,60,0.786,0.785,0.785
2,1,0.816,0.816,0.825
2,2,0.797,0.802,0.797
2,3,0.789,0.783,0.755
2,4,0.783,0.781,0.781
2,5,0.81,0.804,0.769
2,6,0.807,0.795,0.807
2,7,0.79,0.795,0.794
2,8,0.775,0.775,0.774
2,9,0.806,0.809,0.805
2,10,0.793,0.789,0.796
2,11,0.805,0.786,0.771
2,12,0.809,0.808,0.8
2,13,0.763,0.771,0.779
2,14,0.773,0.77,0.762
2,15,0.773,0.78,0.784
2,16,0.75,0.75,0.75
2,17,0.814,0.816,0.819
2,18,0.817,0.819,0.82
2,19,0.758,0.774,0.773
2,20,0.784,0.787,0.794
2,21,0.791,0.788,0.789
2,22,0.799,0.81,0.796
2,23,0.776,0.776,0.772
2,24,0.776,0.773,0.763
2,25,0.77,0.77,0.763
2,26,0.764,0.765,0.773
3,1,0.779,0.794,0.801
3,2,0.844,0.853,0.845
3,3,0.786,0.776,0.789
3,4,0.816,0.792,0.777
3,5,0.829,0.822,0.834
3,6,0.782,0.779,0.772
3,7,0.806,0.794,0.81
3,8,0.831,0.836,0.843
3,9,0.77,0.775,0.778
3,10,0.851,0.858,0.849
3,11,0.809,0.802,0.838
3,12,0.781,0.774,0.8
3,13,0.805,0.803,0.799
3,14,0.812,0.798,0.809
3,15,0.778,0.787,0.813
4,1,0.856,0.852,0.809
4,2,0.798,0.808,0.912
4,3,0.816,0.813,0.816
4,4,0.781,0.781,0.805
4,5,0.837,0.826,0.872
4,6,0.815,0.815,0.829
4,7,0.839,0.818,0.85
4,8,0.807,0.778,0.814
4,9,0.873,0.829,0.86
4,10,0.839,0.817,0.844
4,11,0.811,0.786,0.811
4,12,0.81,0.765,0.81
4,13,0.781,0.798,0.802
4,14,0.773,0.764,0.774
4,15,0.766,0.791,0.78
4,16,0.771,0.771,0.776
4,17,0.762,0.76,0.751
4,18,0.752,0.751,0.753
4,19,0.822,0.801,0.788
4,20,0.795,0.792,0.789
4,21,0.796,0.772,0.795
4,22,0.829,0.786,0.835
4,23,0.818,0.791,0.822
4,24,0.786,0.811,0.814
